사용일자,5호선,9호선,합계
2020-05-12,27685,22952,50637
2020-05-13,28345,23459,51804
2020-05-14,27827,23352,51179
2020-05-15,27386,22361,49747
2020-05-16,8502,7015,15517
2020-05-17,5869,4856,10725
2020-05-18,27061,22236,49297
2020-05-19,27759,22903,50662
2020-05-20,28311,23685,51996
2020-05-21,28897,23747,52644
2020-05-22,28324,23604,51928
2020-05-23,9867,8094,17961
2020-05-24,4977,4727,9704
2020-05-25,27897,23235,51132
2020-05-26,28270,23560,51830
2020-05-27,28725,24174,52899
2020-05-28,28478,23797,52275
2020-05-29,27476,22627,50103
2020-05-30,8802,7068,15870
2020-05-31,5143,4657,9800
2020-06-01,26700,22304,49004
2020-06-02,26574,22105,48679
2020-06-03,27374,22864,50238
2020-06-04,27360,22807,50167
2020-06-05,27048,22856,49904
2020-06-06,8088,6768,14856
2020-06-07,5469,4881,10350
2020-06-08,27227,22642,49869
2020-06-09,27786,23254,51040
2020-06-10,28178,23433,51611
2020-06-11,27906,23350,51256
2020-06-12,27277,23025,50302
2020-06-13,9080,7599,16679
2020-06-14,5202,4750,9952
2020-06-15,27502,22718,50220
2020-06-16,27765,23493,51258
2020-06-17,28142,23757,51899
2020-06-18,28191,23528,51719
2020-06-19,27884,23643,51527
2020-06-20,9320,8018,17338
2020-06-21,5773,5158,10931
2020-06-22,27397,23139,50536
2020-06-23,28444,23601,52045
2020-06-24,27790,23191,50981
2020-06-25,28027,23620,51647
2020-06-26,28084,23439,51523
2020-06-27,9982,8164,18146
2020-06-28,5700,5214,10914
2020-06-29,27738,22982,50720
2020-06-30,28010,23120,51130
2020-07-01,28480,23806,52286
2020-07-02,28491,24068,52559
2020-07-03,28657,24145,52802
2020-07-04,9606,8041,17647
2020-07-05,5454,5065,10519
2020-07-06,28154,23624,51778
2020-07-07,28504,23545,52049
2020-07-08,29013,23792,52805
2020-07-09,28768,24072,52840
2020-07-10,28255,23490,51745
2020-07-11,9291,8331,17622
2020-07-12,5259,4544,9803
2020-07-13,27717,22588,50305
2020-07-14,28390,23734,52124
2020-07-15,29328,24522,53850
2020-07-16,29018,24510,53528
2020-07-17,28519,23984,52503
2020-07-18,9623,8157,17780
2020-07-19,4861,4413,9274
2020-07-20,27947,23266,51213
2020-07-21,28883,24440,53323
2020-07-22,28848,23801,52649
2020-07-23,28401,24126,52527
2020-07-24,28145,23936,52081
2020-07-25,9478,7956,17434
2020-07-26,5474,4725,10199
2020-07-27,27891,23243,51134
2020-07-28,28280,23912,52192
2020-07-29,27836,23191,51027
2020-07-30,28201,23642,51843
2020-07-31,27881,23430,51311
2020-08-01,7457,6604,14061
2020-08-02,4467,4189,8656
2020-08-03,26406,22219,48625
2020-08-04,27086,22928,50014
2020-08-05,27790,23187,50977
2020-08-06,30638,27307,57945
2020-08-07,32245,29298,61543
2020-08-08,8481,7018,15499
2020-08-09,4653,4402,9055
2020-08-10,28711,24903,53614
2020-08-11,29242,24994,54236
2020-08-12,28626,25226,53852
2020-08-13,27996,24357,52353
2020-08-14,28389,25446,53835
2020-08-15,6727,5691,12418
2020-08-16,5094,4585,9679
2020-08-17,6983,5780,12763
2020-08-18,25416,21281,46697
2020-08-19,24881,20680,45561
2020-08-20,24530,20005,44535
2020-08-21,23284,19323,42607
2020-08-22,5770,4657,10427
2020-08-23,3764,3153,6917
2020-08-24,23039,18809,41848
2020-08-25,22775,18563,41338
2020-08-26,22506,18447,40953
2020-08-27,21633,17326,38959
2020-08-28,22007,17892,39899
2020-08-29,5127,4144,9271
2020-08-30,3181,2631,5812
2020-08-31,21657,17634,39291
2020-09-01,21460,17389,38849
2020-09-02,21034,16722,37756
2020-09-03,21160,17152,38312
2020-09-04,21679,17969,39648
2020-09-05,5738,4687,10425
2020-09-06,3256,2822,6078
2020-09-07,21402,17097,38499
2020-09-08,22371,18388,40759
2020-09-09,22000,18073,40073
2020-09-10,22350,18481,40831
2020-09-11,21891,18280,40171
2020-09-12,5953,4739,10692
2020-09-13,3759,3271,7030
2020-09-14,23949,19924,43873
2020-09-15,24829,20459,45288
2020-09-16,24373,20252,44625
2020-09-17,24483,20496,44979
2020-09-18,24486,20528,45014
2020-09-19,7474,6250,13724
2020-09-20,4578,3940,8518
2020-09-21,25451,21297,46748
