사용일자,2호선,3호선,합계
2020-03-31,18781,9817,28598
2020-04-01,18540,9694,28234
2020-04-02,18521,9721,28242
2020-04-03,18985,10025,29010
2020-04-04,6278,3645,9923
2020-04-05,3110,1526,4636
2020-04-06,19093,10066,29159
2020-04-07,19224,10134,29358
2020-04-08,19168,10078,29246
2020-04-09,19165,10149,29314
2020-04-10,19634,10514,30148
2020-04-11,6796,3795,10591
2020-04-12,3827,1832,5659
2020-04-13,19156,10162,29318
2020-04-14,20947,10504,31451
2020-04-15,5681,3359,9040
2020-04-16,19542,10212,29754
2020-04-17,19702,10478,30180
2020-04-18,7615,4435,12050
2020-04-19,3739,1774,5513
2020-04-20,19779,10373,30152
2020-04-21,20251,10573,30824
2020-04-22,20491,10785,31276
2020-04-23,20443,10927,31370
2020-04-24,21429,11397,32826
2020-04-25,7822,4673,12495
2020-04-26,4659,2317,6976
2020-04-27,20728,10810,31538
2020-04-28,21272,11122,32394
2020-04-29,22039,11785,33824
2020-04-30,6830,3947,10777
2020-05-01,8272,5219,13491
2020-05-02,7279,4351,11630
2020-05-03,5153,2363,7516
2020-05-04,17106,9606,26712
2020-05-05,5481,3152,8633
2020-05-06,21660,11644,33304
2020-05-07,22107,11638,33745
2020-05-08,21445,11486,32931
2020-05-09,7060,4374,11434
2020-05-10,5309,2536,7845
2020-05-11,21120,11171,32291
2020-05-12,21215,11192,32407
2020-05-13,21552,11289,32841
2020-05-14,20969,11209,32178
2020-05-15,20817,11315,32132
2020-05-16,7978,4781,12759
2020-05-17,5087,2337,7424
2020-05-18,20082,10680,30762
2020-05-19,20902,11018,31920
2020-05-20,21561,11488,33049
2020-05-21,21445,11420,32865
2020-05-22,22046,11817,33863
2020-05-23,9037,5297,14334
2020-05-24,5037,2484,7521
2020-05-25,21107,11097,32204
2020-05-26,21297,11373,32670
2020-05-27,21872,11648,33520
2020-05-28,21472,11534,33006
2020-05-29,22241,11970,34211
2020-05-30,8760,5233,13993
2020-05-31,5117,2403,7520
2020-06-01,20563,11055,31618
2020-06-02,20212,10815,31027
2020-06-03,21381,11348,32729
2020-06-04,21233,11245,32478
2020-06-05,21560,11566,33126
2020-06-06,7738,4639,12377
2020-06-07,5099,2434,7533
2020-06-08,20369,10980,31349
2020-06-09,21187,11209,32396
2020-06-10,20925,11173,32098
2020-06-11,21176,11292,32468
2020-06-12,21570,11638,33208
2020-06-13,8483,5114,13597
2020-06-14,5199,2469,7668
2020-06-15,20689,10995,31684
2020-06-16,21227,11190,32417
2020-06-17,21408,11330,32738
2020-06-18,21241,11322,32563
2020-06-19,22324,11881,34205
2020-06-20,8860,5245,14105
2020-06-21,5328,2547,7875
2020-06-22,20704,11058,31762
2020-06-23,21029,11168,32197
2020-06-24,20827,11141,31968
2020-06-25,21654,11607,33261
2020-06-26,22676,12243,34919
2020-06-27,9932,5690,15622
2020-06-28,5850,2672,8522
2020-06-29,21034,11138,32172
2020-06-30,21306,11297,32603
2020-07-01,21851,11604,33455
2020-07-02,22128,11718,33846
2020-07-03,23064,12451,35515
2020-07-04,9370,5658,15028
2020-07-05,5828,2678,8506
2020-07-06,21745,11467,33212
2020-07-07,22208,11682,33890
2020-07-08,22673,11942,34615
2020-07-09,22526,11996,34522
2020-07-10,22897,12144,35041
2020-07-11,9591,5559,15150
2020-07-12,5805,2689,8494
2020-07-13,21011,11201,32212
2020-07-14,22334,11787,34121
2020-07-15,23052,12056,35108
2020-07-16,22488,11945,34433
2020-07-17,22963,12291,35254
2020-07-18,9794,5804,15598
2020-07-19,5359,2393,7752
2020-07-20,21758,11369,33127
2020-07-21,22350,11787,34137
2020-07-22,22536,11921,34457
2020-07-23,21864,11706,33570
2020-07-24,22973,12369,35342
2020-07-25,10056,5963,16019
2020-07-26,6347,2958,9305
2020-07-27,21618,11349,32967
2020-07-28,22024,11643,33667
2020-07-29,21953,11715,33668
2020-07-30,22571,11788,34359
2020-07-31,23089,12530,35619
2020-08-01,7826,4660,12486
2020-08-02,5130,2450,7580
2020-08-03,19250,9356,28606
2020-08-04,19985,9889,29874
2020-08-05,21634,10602,32236
2020-08-06,22699,11764,34463
2020-08-07,23421,12363,35784
2020-08-08,9223,5279,14502
2020-08-09,5099,2404,7503
2020-08-10,21297,11456,32753
2020-08-11,22006,11601,33607
2020-08-12,22722,11803,34525
2020-08-13,22040,11537,33577
2020-08-14,21170,11416,32586
2020-08-15,8253,4884,13137
2020-08-16,5778,2700,8478
2020-08-17,7353,4542,11895
2020-08-18,19585,10114,29699
2020-08-19,18883,9756,28639
2020-08-20,17746,9324,27070
2020-08-21,17491,9184,26675
2020-08-22,5447,3275,8722
2020-08-23,2909,1343,4252
2020-08-24,17348,9046,26394
2020-08-25,17260,9115,26375
2020-08-26,17033,8936,25969
2020-08-27,16198,8751,24949
2020-08-28,16938,9031,25969
2020-08-29,4832,2847,7679
2020-08-30,2277,1187,3464
2020-08-31,15946,8520,24466
2020-09-01,15791,8479,24270
2020-09-02,15439,8197,23636
2020-09-03,15367,8400,23767
2020-09-04,15810,8545,24355
2020-09-05,4964,2965,7929
2020-09-06,2573,1254,3827
2020-09-07,15929,8673,24602
2020-09-08,16745,8948,25693
2020-09-09,16629,8899,25528
2020-09-10,16343,8871,25214
2020-09-11,16420,8894,25314
2020-09-12,5416,3327,8743
2020-09-13,2988,1516,4504
2020-09-14,17921,9403,27324
2020-09-15,18058,9633,27691
2020-09-16,18206,9554,27760
2020-09-17,18522,9657,28179
2020-09-18,18939,10219,29158
2020-09-19,7258,4272,11530
2020-09-20,3688,1905,5593
2020-09-21,18706,10037,28743
2020-09-22,19022,10124,29146
2020-09-23,19484,10317,29801
2020-09-24,19678,10297,29975
2020-09-25,20348,10964,31312
2020-09-26,7976,4669,12645
2020-09-27,4331,2115,6446
2020-09-28,19594,10363,29957
2020-09-29,18781,9902,28683
2020-09-30,3278,1791,5069
2020-10-01,2124,979,3103
2020-10-02,3764,1956,5720
2020-10-03,5145,2831,7976
2020-10-04,3844,1844,5688
2020-10-05,19380,10111,29491
2020-10-06,20022,10366,30388
2020-10-07,20500,10648,31148
2020-10-08,21218,11300,32518
2020-10-09,8051,4634,12685
2020-10-10,7837,4639,12476
2020-10-11,4735,2175,6910
2020-10-12,20499,10653,31152
2020-10-13,21043,10968,32011
2020-10-14,21263,11058,32321
2020-10-15,21202,10854,32056
2020-10-16,21818,11629,33447
2020-10-17,9199,5418,14617
2020-10-18,5387,2584,7971
2020-10-19,20571,10886,31457
2020-10-20,21229,11208,32437
2020-10-21,21417,11077,32494
2020-10-22,21888,11311,33199
2020-10-23,22442,12097,34539
2020-10-24,9812,5708,15520
2020-10-25,6062,2750,8812
2020-10-26,20988,11046,32034
2020-10-27,21557,11313,32870
2020-10-28,21959,11456,33415
2020-10-29,21978,11572,33550
2020-10-30,22119,12141,34260
2020-10-31,10352,5980,16332
2020-11-01,5657,2595,8252
2020-11-02,21136,11097,32233
2020-11-03,21662,11281,32943
2020-11-04,22100,11368,33468
2020-11-05,22085,11373,33458
2020-11-06,22931,11790,34721
2020-11-07,10367,5777,16144
2020-11-08,6429,2955,9384
2020-11-09,21555,10992,32547
2020-11-10,22096,11425,33521
2020-11-11,22467,11618,34085
2020-11-12,22355,11760,34115
2020-11-13,23098,12287,35385
2020-11-14,10422,5888,16310
2020-11-15,6586,3003,9589
2020-11-16,21391,10990,32381
2020-11-17,21625,11056,32681
2020-11-18,21832,11302,33134
2020-11-19,20743,11043,31786
2020-11-20,21393,11547,32940
2020-11-21,8825,5158,13983
2020-11-22,5315,2514,7829
2020-11-23,19747,10529,30276
2020-11-24,18975,10085,29060
2020-11-25,19329,10161,29490
2020-11-26,18772,9864,28636
2020-11-27,18334,9757,28091
2020-11-28,6290,3666,9956
2020-11-29,3936,1755,5691
2020-11-30,18273,9739,28012
2020-12-01,18234,9731,27965
2020-12-02,18131,9487,27618
2020-12-03,18074,9445,27519
2020-12-04,18100,9629,27729
2020-12-05,6288,3615,9903
2020-12-06,4062,1749,5811
2020-12-07,17818,9213,27031
2020-12-08,17515,9207,26722
2020-12-09,17141,9060,26201
2020-12-10,17116,8958,26074
2020-12-11,16963,8911,25874
2020-12-12,5395,3260,8655
2020-12-13,2869,1481,4350
2020-12-14,16063,8546,24609
2020-12-15,16051,8587,24638
2020-12-16,16128,8496,24624
2020-12-17,16222,8574,24796
2020-12-18,16310,8747,25057
2020-12-19,5039,3098,8137
2020-12-20,2699,1341,4040
2020-12-21,16270,8707,24977
2020-12-22,16550,8818,25368
2020-12-23,16788,8855,25643
2020-12-24,16094,8607,24701
2020-12-25,4065,2141,6206
2020-12-26,4191,2588,6779
2020-12-27,2757,1362,4119
2020-12-28,16027,8506,24533
2020-12-29,16283,8522,24805
2020-12-30,15981,8634,24615
2020-12-31,14581,7902,22483
2021-01-01,2105,1009,3114
2021-01-02,3671,2103,5774
2021-01-03,2471,1163,3634
2021-01-04,17253,9129,26382
2021-01-05,17397,9119,26516
2021-01-06,17118,8999,26117
2021-01-07,17859,9908,27767
2021-01-08,17040,9054,26094
2021-01-09,5208,3198,8406
2021-01-10,2991,1390,4381
2021-01-11,17586,9462,27048
2021-01-12,17984,9496,27480
2021-01-13,18385,9862,28247
2021-01-14,18079,9492,27571
2021-01-15,17776,9408,27184
2021-01-16,6093,3556,9649
2021-01-17,3253,1590,4843
2021-01-18,18412,9837,28249
2021-01-19,18365,9511,27876
2021-01-20,19076,9849,28925
2021-01-21,18776,9803,28579
2021-01-22,18498,9911,28409
2021-01-23,6941,4085,11026
2021-01-24,4180,1915,6095
2021-01-25,19086,9891,28977
2021-01-26,18929,9896,28825
2021-01-27,19317,10120,29437
2021-01-28,19211,10024,29235
2021-01-29,18925,10093,29018
2021-01-30,7192,4129,11321
2021-01-31,4542,1991,6533
2021-02-01,19363,9876,29239
2021-02-02,19409,10104,29513
2021-02-03,19761,10183,29944
2021-02-04,20073,10495,30568
2021-02-05,20058,10286,30344
2021-02-06,7828,4224,12052
2021-02-07,4894,2158,7052
2021-02-08,19704,10294,29998
2021-02-09,19755,10194,29949
2021-02-10,18122,9393,27515
2021-02-11,3335,1614,4949
2021-02-12,2074,948,3022
2021-02-13,4435,2172,6607
2021-02-14,4621,1977,6598
2021-02-15,18819,9927,28746
2021-02-16,19995,10531,30526
2021-02-17,20188,10369,30557
2021-02-18,20426,10499,30925
2021-02-19,20922,10825,31747
2021-02-20,8529,4803,13332
2021-02-21,5643,2344,7987
2021-02-22,20329,10523,30852
2021-02-23,20467,10568,31035
2021-02-24,20817,10766,31583
2021-02-25,20619,10745,31364
2021-02-26,20879,10966,31845
2021-02-27,9162,5077,14239
2021-02-28,6622,2935,9557
2021-03-01,4386,2436,6822
2021-03-02,19971,10350,30321
2021-03-03,20669,10807,31476
2021-03-04,20824,10875,31699
2021-03-05,21764,11205,32969
2021-03-06,9209,5193,14402
2021-03-07,5867,2517,8384
2021-03-08,20218,10736,30954
2021-03-09,20690,10609,31299
2021-03-10,21258,10992,32250
2021-03-11,20937,10868,31805
2021-03-12,21291,11205,32496
2021-03-13,9469,5361,14830
2021-03-14,6019,2631,8650
2021-03-15,20106,10687,30793
2021-03-16,20761,10868,31629
2021-03-17,21063,11107,32170
2021-03-18,21034,10856,31890
2021-03-19,21652,11478,33130
2021-03-20,9017,4920,13937
2021-03-21,6047,2643,8690
2021-03-22,20259,10667,30926
2021-03-23,20997,10960,31957
2021-03-24,21255,10931,32186
2021-03-25,21214,11086,32300
2021-03-26,21999,11484,33483
2021-03-27,8804,4789,13593
2021-03-28,5560,2406,7966
2021-03-29,20299,10553,30852
2021-03-30,21035,10812,31847
2021-03-31,21297,10977,32274
2021-04-01,21065,10795,31860
2021-04-02,21632,11284,32916
2021-04-03,8054,4490,12544
2021-04-04,5905,2589,8494
2021-04-05,20553,10587,31140
2021-04-06,21028,10824,31852
2021-04-07,20745,10708,31453
2021-04-08,21004,10660,31664
2021-04-09,21594,11366,32960
2021-04-10,9305,5057,14362
2021-04-11,5864,2571,8435
2021-04-12,19804,10212,30016
2021-04-13,20787,10660,31447
2021-04-14,21241,10870,32111
2021-04-15,20902,10746,31648
2021-04-16,20851,10861,31712
2021-04-17,9049,4812,13861
2021-04-18,5687,2639,8326
2021-04-19,20508,10507,31015
2021-04-20,20978,10746,31724
2021-04-21,21494,10903,32397
2021-04-22,21307,10881,32188
2021-04-23,21501,11178,32679
2021-04-24,9855,5294,15149
2021-04-25,6122,2593,8715
2021-04-26,20610,10541,31151
2021-04-27,21091,10753,31844
2021-04-28,22043,11018,33061
2021-04-29,22260,11165,33425
2021-04-30,22627,11632,34259
2021-05-01,9131,4792,13923
2021-05-02,6455,2788,9243
2021-05-03,21029,10758,31787
2021-05-04,21470,10739,32209
2021-05-05,7995,3962,11957
2021-05-06,21170,10607,31777
2021-05-07,21153,10753,31906
2021-05-08,7680,4039,11719
2021-05-09,6283,2674,8957
2021-05-10,20741,10574,31315
2021-05-11,21803,11040,32843
2021-05-12,22002,10995,32997
2021-05-13,22194,10872,33066
2021-05-14,22970,11632,34602
2021-05-15,9595,5092,14687
2021-05-16,5256,2316,7572
2021-05-17,20704,10445,31149
2021-05-18,22938,11752,34690
2021-05-19,8314,4696,13010
2021-05-20,21093,10630,31723
2021-05-21,21749,11145,32894
