사용일자,3호선,합계
2020-02-21,20946,20946
2020-02-22,10536,10536
2020-02-23,6800,6800
2020-02-24,18327,18327
2020-02-25,16756,16756
2020-02-26,16972,16972
2020-02-27,16316,16316
2020-02-28,15271,15271
2020-02-29,6402,6402
2020-03-01,3953,3953
2020-03-02,15164,15164
2020-03-03,15194,15194
2020-03-04,14869,14869
2020-03-05,14597,14597
2020-03-06,14668,14668
2020-03-07,6984,6984
2020-03-08,5058,5058
2020-03-09,14844,14844
2020-03-10,14402,14402
2020-03-11,15295,15295
2020-03-12,14832,14832
2020-03-13,14783,14783
2020-03-14,7804,7804
2020-03-15,4937,4937
2020-03-16,14645,14645
2020-03-17,14553,14553
2020-03-18,15250,15250
2020-03-19,14148,14148
2020-03-20,15295,15295
2020-03-21,8091,8091
2020-03-22,5654,5654
2020-03-23,15328,15328
2020-03-24,16067,16067
2020-03-25,15914,15914
2020-03-26,15354,15354
2020-03-27,15689,15689
2020-03-28,8150,8150
2020-03-29,5674,5674
2020-03-30,15501,15501
2020-03-31,16079,16079
2020-04-01,15897,15897
2020-04-02,15758,15758
2020-04-03,16162,16162
2020-04-04,8742,8742
2020-04-05,5722,5722
2020-04-06,16144,16144
2020-04-07,16267,16267
2020-04-08,16478,16478
2020-04-09,16309,16309
2020-04-10,16516,16516
2020-04-11,9057,9057
2020-04-12,5732,5732
2020-04-13,16282,16282
2020-04-14,17246,17246
2020-04-15,7931,7931
2020-04-16,17096,17096
2020-04-17,16324,16324
2020-04-18,10277,10277
2020-04-19,5499,5499
2020-04-20,16728,16728
2020-04-21,17497,17497
2020-04-22,17226,17226
2020-04-23,18077,18077
2020-04-24,18524,18524
2020-04-25,11520,11520
2020-04-26,7657,7657
2020-04-27,18101,18101
2020-04-28,18802,18802
2020-04-29,19357,19357
2020-04-30,13908,13908
2020-05-01,12482,12482
2020-05-02,11497,11497
2020-05-03,8491,8491
2020-05-04,13742,13742
2020-05-05,9911,9911
2020-05-06,19592,19592
2020-05-07,19851,19851
2020-05-08,19686,19686
2020-05-09,9781,9781
2020-05-10,8731,8731
2020-05-11,18933,18933
2020-05-12,19183,19183
2020-05-13,19706,19706
2020-05-14,19253,19253
2020-05-15,18617,18617
2020-05-16,11598,11598
2020-05-17,8108,8108
2020-05-18,18106,18106
2020-05-19,18596,18596
2020-05-20,20499,20499
2020-05-21,20556,20556
2020-05-22,20776,20776
2020-05-23,14434,14434
2020-05-24,8069,8069
2020-05-25,19614,19614
2020-05-26,19931,19931
2020-05-27,21555,21555
2020-05-28,20928,20928
2020-05-29,20801,20801
2020-05-30,12862,12862
2020-05-31,7552,7552
2020-06-01,19011,19011
2020-06-02,18800,18800
2020-06-03,19873,19873
2020-06-04,19593,19593
2020-06-05,19857,19857
2020-06-06,11267,11267
2020-06-07,7474,7474
2020-06-08,19304,19304
2020-06-09,19796,19796
2020-06-10,19593,19593
2020-06-11,19761,19761
2020-06-12,19753,19753
2020-06-13,11784,11784
2020-06-14,7022,7022
2020-06-15,19422,19422
2020-06-16,19966,19966
2020-06-17,19862,19862
2020-06-18,20017,20017
2020-06-19,20300,20300
2020-06-20,12462,12462
2020-06-21,8049,8049
2020-06-22,19309,19309
2020-06-23,19992,19992
2020-06-24,19566,19566
2020-06-25,20102,20102
2020-06-26,20661,20661
2020-06-27,12780,12780
2020-06-28,8484,8484
2020-06-29,19304,19304
2020-06-30,19644,19644
2020-07-01,20986,20986
2020-07-02,21021,21021
2020-07-03,20869,20869
2020-07-04,13541,13541
2020-07-05,8808,8808
2020-07-06,20230,20230
2020-07-07,20875,20875
2020-07-08,21331,21331
2020-07-09,21142,21142
2020-07-10,20802,20802
2020-07-11,12862,12862
2020-07-12,8406,8406
2020-07-13,19027,19027
2020-07-14,20710,20710
2020-07-15,21470,21470
2020-07-16,21528,21528
2020-07-17,21311,21311
2020-07-18,13132,13132
2020-07-19,6423,6423
2020-07-20,19651,19651
2020-07-21,21560,21560
2020-07-22,21311,21311
2020-07-23,20698,20698
2020-07-24,20694,20694
2020-07-25,14315,14315
2020-07-26,9285,9285
2020-07-27,20003,20003
2020-07-28,21013,21013
2020-07-29,21199,21199
2020-07-30,21591,21591
2020-07-31,22053,22053
2020-08-01,10834,10834
