사용일자,6호선,합계
2020-06-07,4106,4106
2020-06-08,6806,6806
2020-06-09,7640,7640
2020-06-10,8043,8043
2020-06-11,8118,8118
2020-06-12,8718,8718
2020-06-13,6076,6076
2020-06-14,4483,4483
2020-06-15,7029,7029
2020-06-16,7686,7686
2020-06-17,7798,7798
2020-06-18,7726,7726
2020-06-19,8655,8655
2020-06-20,6632,6632
2020-06-21,4356,4356
2020-06-22,6957,6957
2020-06-23,7823,7823
2020-06-24,7583,7583
2020-06-25,7851,7851
2020-06-26,8675,8675
2020-06-27,7144,7144
2020-06-28,5037,5037
2020-06-29,7062,7062
2020-06-30,7923,7923
2020-07-01,8237,8237
2020-07-02,8483,8483
2020-07-03,9160,9160
2020-07-04,7111,7111
2020-07-05,4903,4903
2020-07-06,7251,7251
2020-07-07,8475,8475
2020-07-08,8450,8450
2020-07-09,8563,8563
2020-07-10,8896,8896
2020-07-11,7404,7404
2020-07-12,5286,5286
2020-07-13,6921,6921
2020-07-14,8248,8248
2020-07-15,8788,8788
2020-07-16,8765,8765
2020-07-17,9671,9671
2020-07-18,8460,8460
2020-07-19,4874,4874
2020-07-20,7274,7274
2020-07-21,8837,8837
2020-07-22,8691,8691
2020-07-23,8449,8449
2020-07-24,9546,9546
2020-07-25,8655,8655
2020-07-26,6698,6698
2020-07-27,7314,7314
2020-07-28,8900,8900
2020-07-29,8728,8728
2020-07-30,9078,9078
2020-07-31,10112,10112
2020-08-01,7013,7013
2020-08-02,4903,4903
2020-08-03,6559,6559
2020-08-04,8221,8221
2020-08-05,8942,8942
2020-08-06,9519,9519
2020-08-07,10752,10752
2020-08-08,7570,7570
2020-08-09,3571,3571
2020-08-10,7558,7558
2020-08-11,8221,8221
2020-08-12,8660,8660
2020-08-13,8464,8464
2020-08-14,8729,8729
2020-08-15,5625,5625
2020-08-16,4921,4921
2020-08-17,4479,4479
2020-08-18,7506,7506
2020-08-19,7085,7085
2020-08-20,6872,6872
2020-08-21,7341,7341
2020-08-22,3885,3885
2020-08-23,2832,2832
2020-08-24,6012,6012
2020-08-25,6282,6282
2020-08-26,5907,5907
2020-08-27,5527,5527
2020-08-28,6581,6581
2020-08-29,3890,3890
2020-08-30,2701,2701
2020-08-31,5341,5341
2020-09-01,5561,5561
2020-09-02,5427,5427
2020-09-03,5462,5462
2020-09-04,5976,5976
2020-09-05,4014,4014
2020-09-06,2978,2978
2020-09-07,4971,4971
2020-09-08,6040,6040
2020-09-09,5938,5938
2020-09-10,6239,6239
2020-09-11,6548,6548
2020-09-12,4753,4753
2020-09-13,3843,3843
2020-09-14,6050,6050
2020-09-15,6976,6976
2020-09-16,6857,6857
2020-09-17,7179,7179
2020-09-18,7917,7917
2020-09-19,6532,6532
2020-09-20,4945,4945
2020-09-21,6871,6871
2020-09-22,7830,7830
2020-09-23,8008,8008
2020-09-24,7984,7984
2020-09-25,8807,8807
2020-09-26,7470,7470
2020-09-27,5483,5483
2020-09-28,7159,7159
2020-09-29,7904,7904
2020-09-30,3886,3886
2020-10-01,2221,2221
2020-10-02,5477,5477
2020-10-03,6694,6694
2020-10-04,4755,4755
2020-10-05,6943,6943
2020-10-06,8052,8052
2020-10-07,8527,8527
2020-10-08,9223,9223
2020-10-09,8623,8623
2020-10-10,8147,8147
2020-10-11,5690,5690
2020-10-12,7368,7368
2020-10-13,8245,8245
2020-10-14,8664,8664
2020-10-15,8857,8857
2020-10-16,10037,10037
2020-10-17,9612,9612
2020-10-18,6896,6896
2020-10-19,7329,7329
2020-10-20,8848,8848
2020-10-21,9022,9022
2020-10-22,9048,9048
2020-10-23,10223,10223
2020-10-24,9422,9422
2020-10-25,6432,6432
2020-10-26,7757,7757
2020-10-27,8889,8889
2020-10-28,10003,10003
2020-10-29,9241,9241
2020-10-30,9901,9901
2020-10-31,9202,9202
2020-11-01,6040,6040
2020-11-02,7487,7487
2020-11-03,8211,8211
2020-11-04,8067,8067
2020-11-05,8513,8513
2020-11-06,8965,8965
2020-11-07,7784,7784
2020-11-08,6164,6164
2020-11-09,7721,7721
2020-11-10,8930,8930
2020-11-11,9231,9231
2020-11-12,9191,9191
2020-11-13,10135,10135
2020-11-14,8888,8888
2020-11-15,5573,5573
2020-11-16,7796,7796
2020-11-17,8552,8552
2020-11-18,8523,8523
2020-11-19,8291,8291
2020-11-20,9458,9458
2020-11-21,7781,7781
2020-11-22,4654,4654
2020-11-23,7305,7305
2020-11-24,7428,7428
2020-11-25,7445,7445
2020-11-26,7356,7356
2020-11-27,7307,7307
2020-11-28,4762,4762
2020-11-29,3428,3428
2020-11-30,6432,6432
2020-12-01,6632,6632
2020-12-02,6866,6866
2020-12-03,6994,6994
2020-12-04,6910,6910
2020-12-05,4498,4498
2020-12-06,3291,3291
2020-12-07,6032,6032
2020-12-08,6130,6130
2020-12-09,6128,6128
2020-12-10,6178,6178
2020-12-11,6812,6812
2020-12-12,3786,3786
2020-12-13,2287,2287
2020-12-14,5478,5478
2020-12-15,5830,5830
2020-12-16,5677,5677
2020-12-17,5710,5710
2020-12-18,6108,6108
2020-12-19,3619,3619
2020-12-20,2513,2513
2020-12-21,5413,5413
2020-12-22,5632,5632
2020-12-23,5889,5889
2020-12-24,6588,6588
2020-12-25,3311,3311
2020-12-26,3236,3236
2020-12-27,2433,2433
2020-12-28,5132,5132
2020-12-29,5402,5402
2020-12-30,5253,5253
2020-12-31,5001,5001
2021-01-01,1575,1575
2021-01-02,3105,3105
2021-01-03,2441,2441
2021-01-04,5569,5569
2021-01-05,5769,5769
2021-01-06,5958,5958
2021-01-07,6080,6080
2021-01-08,5771,5771
2021-01-09,3359,3359
2021-01-10,2365,2365
2021-01-11,5691,5691
2021-01-12,6079,6079
2021-01-13,6355,6355
2021-01-14,6221,6221
2021-01-15,6411,6411
2021-01-16,4241,4241
2021-01-17,2858,2858
2021-01-18,6179,6179
2021-01-19,6436,6436
2021-01-20,6890,6890
2021-01-21,6576,6576
2021-01-22,7110,7110
2021-01-23,5605,5605
2021-01-24,4232,4232
2021-01-25,6501,6501
2021-01-26,6859,6859
2021-01-27,7230,7230
2021-01-28,6880,6880
2021-01-29,7086,7086
2021-01-30,5802,5802
2021-01-31,4374,4374
2021-02-01,6709,6709
2021-02-02,7029,7029
2021-02-03,7161,7161
2021-02-04,7473,7473
2021-02-05,7963,7963
2021-02-06,7040,7040
2021-02-07,4814,4814
2021-02-08,6856,6856
2021-02-09,7464,7464
2021-02-10,7482,7482
2021-02-11,3431,3431
2021-02-12,2255,2255
2021-02-13,5154,5154
2021-02-14,5051,5051
2021-02-15,6624,6624
2021-02-16,7681,7681
2021-02-17,7829,7829
2021-02-18,8342,8342
2021-02-19,8916,8916
2021-02-20,8784,8784
2021-02-21,6208,6208
2021-02-22,7099,7099
2021-02-23,8517,8517
2021-02-24,8607,8607
2021-02-25,8434,8434
2021-02-26,9276,9276
2021-02-27,8842,8842
2021-02-28,7446,7446
2021-03-01,3890,3890
2021-03-02,7232,7232
2021-03-03,8583,8583
2021-03-04,8556,8556
2021-03-05,9185,9185
2021-03-06,9084,9084
2021-03-07,6708,6708
2021-03-08,7250,7250
2021-03-09,8497,8497
2021-03-10,8842,8842
2021-03-11,8609,8609
2021-03-12,9507,9507
2021-03-13,9262,9262
2021-03-14,6623,6623
2021-03-15,7395,7395
2021-03-16,8358,8358
2021-03-17,8607,8607
2021-03-18,8711,8711
2021-03-19,9790,9790
2021-03-20,8369,8369
2021-03-21,6861,6861
2021-03-22,7436,7436
2021-03-23,8412,8412
2021-03-24,8788,8788
2021-03-25,8915,8915
2021-03-26,10026,10026
2021-03-27,7815,7815
2021-03-28,5918,5918
2021-03-29,7415,7415
2021-03-30,8552,8552
2021-03-31,9254,9254
2021-04-01,8954,8954
2021-04-02,9641,9641
2021-04-03,7017,7017
2021-04-04,6730,6730
2021-04-05,7438,7438
2021-04-06,8558,8558
2021-04-07,8694,8694
2021-04-08,9068,9068
2021-04-09,9793,9793
2021-04-10,9494,9494
2021-04-11,6624,6624
2021-04-12,6358,6358
2021-04-13,8020,8020
2021-04-14,9001,9001
2021-04-15,8268,8268
2021-04-16,8656,8656
2021-04-17,8386,8386
2021-04-18,6315,6315
2021-04-19,7312,7312
2021-04-20,8447,8447
2021-04-21,9248,9248
2021-04-22,8519,8519
2021-04-23,10040,10040
2021-04-24,10188,10188
2021-04-25,6649,6649
2021-04-26,7321,7321
2021-04-27,8802,8802
2021-04-28,8819,8819
2021-04-29,8855,8855
2021-04-30,9017,9017
2021-05-01,8293,8293
2021-05-02,7278,7278
2021-05-03,7595,7595
2021-05-04,7451,7451
2021-05-05,7475,7475
2021-05-06,7844,7844
2021-05-07,8166,8166
2021-05-08,6036,6036
2021-05-09,5555,5555
2021-05-10,6945,6945
2021-05-11,7866,7866
2021-05-12,7913,7913
2021-05-13,8328,8328
2021-05-14,9182,9182
2021-05-15,7050,7050
2021-05-16,4214,4214
2021-05-17,7409,7409
2021-05-18,8671,8671
2021-05-19,7761,7761
2021-05-20,8703,8703
2021-05-21,9387,9387
2021-05-22,9617,9617
2021-05-23,6750,6750
2021-05-24,7484,7484
2021-05-25,8546,8546
2021-05-26,9371,9371
2021-05-27,8544,8544
2021-05-28,8866,8866
2021-05-29,9006,9006
2021-05-30,6510,6510
2021-05-31,7111,7111
2021-06-01,8331,8331
2021-06-02,9247,9247
2021-06-03,7970,7970
2021-06-04,9468,9468
2021-06-05,9192,9192
2021-06-06,6663,6663
2021-06-07,7051,7051
2021-06-08,8344,8344
2021-06-09,9199,9199
2021-06-10,8489,8489
2021-06-11,8836,8836
2021-06-12,9766,9766
2021-06-13,7195,7195
2021-06-14,7192,7192
2021-06-15,8283,8283
2021-06-16,9351,9351
2021-06-17,8851,8851
2021-06-18,10248,10248
2021-06-19,11029,11029
2021-06-20,7042,7042
2021-06-21,7741,7741
2021-06-22,8886,8886
2021-06-23,9412,9412
2021-06-24,9207,9207
2021-06-25,10128,10128
2021-06-26,9146,9146
2021-06-27,7000,7000
2021-06-28,7577,7577
2021-06-29,9112,9112
2021-06-30,9617,9617
2021-07-01,9437,9437
2021-07-02,9749,9749
2021-07-03,7852,7852
2021-07-04,5491,5491
2021-07-05,7440,7440
2021-07-06,8775,8775
